,num_acc_by_area,grav_mean
822,5.0,2.8
823,7.0,3.875
824,13.0,3.7857142857142856
825,5.0,3.4
826,0.0,4.0
827,0.0,0.0
828,0.0,0.0
829,0.0,0.0
830,3.0,3.0
831,2.0,4.0
832,14.0,3.076923076923077
833,0.0,4.0
834,2.0,4.0
835,2.0,4.0
836,3.0,3.25
837,5.0,3.5
838,1.0,4.0
839,1.0,4.0
840,5.0,4.0
841,3.0,4.0
842,0.0,0.0
843,0.0,0.0
844,3.0,4.0
845,0.0,4.0
846,0.0,4.0
847,2.0,4.0
848,0.0,1.0
849,0.0,4.0
850,3.0,4.0
851,0.0,0.0
852,4.0,3.4
853,0.0,4.0
854,2.0,3.0
855,0.0,0.0
856,3.0,4.0
857,13.0,3.4285714285714284
858,4.0,2.8
859,3.0,4.0
860,2.0,4.0
861,4.0,3.4
862,0.0,0.0
863,3.0,4.0
864,0.0,4.0
865,2.0,4.0
866,0.0,4.0
867,0.0,0.0
868,0.0,4.0
869,2.0,4.0
870,0.0,0.0
871,0.0,4.0
872,0.0,0.0
873,0.0,4.0
874,3.0,3.6666666666666665
875,13.0,3.142857142857143
876,6.0,4.0
877,12.0,4.0
878,1.0,4.0
879,0.0,4.0
880,3.0,2.75
881,0.0,0.0
882,1.0,3.5
883,7.0,3.25
884,0.0,4.0
885,0.0,4.0
886,0.0,0.0
887,0.0,0.0
888,4.0,4.0
889,7.0,4.0
890,1.0,4.0
891,0.0,0.0
892,2.0,4.0
893,19.0,3.4444444444444446
894,16.0,3.9285714285714284
895,0.0,4.0
896,0.0,4.0
897,1.0,4.0
898,2.0,4.0
899,1.0,4.0
900,0.0,4.0
901,0.0,4.0
902,6.0,2.5714285714285716
903,4.0,3.8
904,15.0,3.6666666666666665
905,3.0,3.75
906,1.0,2.5
907,0.0,0.0
908,1.0,1.0
909,4.0,3.6
910,2.0,3.0
911,0.0,4.0
912,5.0,4.0
913,3.0,4.0
914,0.0,4.0
915,2.0,3.0
916,6.0,4.0
917,2.0,4.0
918,5.0,3.5
919,5.0,3.4
920,1.0,4.0
921,8.0,3.5714285714285716
922,0.0,0.0
923,0.0,0.0
924,2.0,4.0
925,2.0,3.0
926,0.0,0.0
927,0.0,0.0
928,1.0,2.5
929,1.0,4.0
930,0.0,0.0
931,0.0,0.0
932,0.0,1.0
933,0.0,4.0
934,1.0,4.0
935,0.0,4.0
936,0.0,3.0
937,1.0,2.5
938,0.0,0.0
939,3.0,4.0
940,3.0,3.75
941,0.0,0.0
942,0.0,4.0
